week_end_date,sessions,avg_session_length,unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth_tb,cumulative_sessions,cumulative_subscribers,gb_per_session
2023-11-05,5632052,00:23:11,319096,154.96,25.13,37428.45,3391110818,14576282,0.03274333404592145
2023-11-12,5302238,00:23:36,306918,159.72,24.33,37612.5,3396413056,14616604,0.03554483974502842
2023-11-19,5343473,00:23:32,304283,164.19,24.53,37801.22,3401756527,14655834,0.036165482636480055
2023-11-26,4691377,00:23:41,297100,146.81,22.41,37970.44,3406447904,14695544,0.03693612344520596
2023-12-03,5165412,00:23:38,307243,153.08,23.54,38147.06,3411613287,14737696,0.035013447136453005
2023-12-10,5297784,00:23:30,308622,157.81,25.27,38330.14,3416911071,14781104,0.03538723360559812
2023-12-17,5171875,00:23:40,308622,154.4,24.68,38509.23,3422082946,14820681,0.03545675794561934
2023-12-24,4991847,00:23:38,302184,147.02,22.64,38678.9,3427074793,14865137,0.03480311796415235
2023-12-31,4783389,00:24:04,305651,142.53,23.7,38845.12,3431858182,14926663,0.035585548237870676
2024-01-07,4835625,00:23:55,309282,141.8,22.95,39009.86,3436693802,14971258,0.034887734263926586
2024-01-14,4699333,00:23:50,284171,150.41,22.13,39182.4,3441393135,15004872,0.03759702919541986
2024-01-21,4232226,00:24:05,273250,142.14,20.36,39344.91,3445625361,15032667,0.039317371047765406
2024-01-28,4710722,00:24:05,284729,155.97,23.18,39524.05,3450336083,15067447,0.03894299005545222
2024-02-04,4978319,00:23:46,292959,160.57,22.62,39707.24,3455314402,15104079,0.03768070306462884
2024-02-11,5260176,00:23:53,301753,164.97,24.31,39896.52,3460574578,15144057,0.03684719294563528
2024-02-18,4959118,00:23:53,301700,154.98,24.43,40075.93,3465533696,15183349,0.03704607149900446
2024-02-25,4972753,00:24:13,305726,171.19,25.54,40272.66,3470506449,15229858,0.040511064997597906
2024-03-03,5314141,00:23:45,310357,175.55,25.02,40473.23,3475820590,15268890,0.03864851911155538
2024-03-10,5268013,00:23:36,311287,165.72,24.25,40663.19,3481088603,15308732,0.03692649961190301
2024-03-17,2588382,00:23:51,270152,82.98,13.28,40759.45,3483676985,15339944,0.038081797818096404
2024-03-24,4753637,00:23:47,293347,154.76,22.53,41002.18,3489168600,15380193,0.03819074952504787
2024-03-31,4495197,00:31:12,402345,170.21,27.09,41199.49,3493663797,15438718,0.04494468206843883
2024-04-07,4222665,00:34:08,132672,209.27,30.5,41439.26,3497886462,15513068,0.05814443722151769
2024-04-14,5298115,00:33:34,156854,245.6,36.02,41720.87,3503184577,15579249,0.05443046819482023
2024-04-21,5985633,00:33:30,173620,190.68,31.27,41710.19,3508298274,15610750,0.03797038675775812
2024-04-28,6322536,00:33:20,186472,198.45,34.26,41942.9,3514620810,15668785,0.03768978776870546
2024-05-05,7011479,00:32:51,203323,206.64,34.93,42184.47,3521632289,15724268,0.03528038520831339
2024-05-12,7303526,00:32:44,210096,213.62,35.2,42433.29,3528935815,15776187,0.034886119389456544
2024-05-19,7426039,00:32:56,217966,220.02,35.57,42688.89,3536361854,15827505,0.035244113315321936
2024-05-26,7998999,00:32:48,230549,236.58,38.41,42963.88,3544360853,15879980,0.03520312479098947
2024-06-02,4033902,00:32:44,237971,122.67,19.85,42210.32,3522671513,15930092,0.036178489214661144
2024-06-09,4215837,00:32:51,246241,129.04,20.43,42359.79,3526887350,15980814,0.036305312563080595
2024-06-19,4387957,00:33:01,255221,132.94,20.57,42513.31,3531275307,16021103,0.03582401559541262
2024-06-23,4339333,00:32:58,259733,130.66,20.07,42664.03,3535614640,16069742,0.03556941124361739
2024-06-30,4568293,00:32:52,275603,135.38,21.59,42821.0,3540182933,16106817,0.035185413895299625
2024-07-07,4454315,00:32:57,277826,132.12,20.73,42973.85,3544637248,16123196,0.03513860155826429
2024-07-14,4657016,00:32:51,285278,136.71,20.67,43131.22,3549294264,16140278,0.034605232191600804
2024-07-21,4769327,00:32:46,291552,140.09,21.22,43292.54,3554063591,16194713,0.03463411923736829
2024-07-28,4923464,00:32:48,300564,144.55,22.46,43459.55,3558987055,16252889,0.03473534893319013
2024-08-04,4878082,00:32:47,303152,147.61,21.84,43629.0,3563865137,16308454,0.03557070176352099
2024-08-11,4847343,00:32:36,305100,141.25,21.64,43791.9,3568712480,16364235,0.03441047188119347
2024-08-18,4697428,00:32:45,307134,135.78,21.65,43949.33,3573409908,16420097,0.034318422762413814
2024-08-25,5084157,00:32:44,311698,147.63,23.61,44120.57,3578494065,16478191,0.0344894463329909
2024-09-01,5125738,00:32:44,314601,153.02,23.42,44297.01,3583619803,16534631,0.035248496899373316
2024-09-08,5152799,00:33:07,315923,153.85,24.42,44475.28,3588772602,16586963,0.035427052365132036
2024-09-15,5221695,00:32:48,317262,154.14,25.98,44655.39,3593994297,16640596,0.035322415422578295
2024-09-22,4863331,00:32:28,317280,147.23,24.09,44826.71,3598857628,16686436,0.0360723298496442
2024-09-29,4841909,00:32:36,298721,143.1,21.99,44991.8,3603699537,16740373,0.034914361257099215
2024-10-06,5003913,00:32:39,307076,149.26,23.64,45164.71,3608703450,16795839,0.03538222986690615
2024-10-13,5055925,00:32:43,307428,146.77,23.29,45334.77,3613759375,16849075,0.03444304256886722
2024-10-20,4926229,00:33:01,309401,141.32,22.88,45498.97,3618685604,16901386,0.03413174661592061
2024-10-27,5202953,00:32:49,317084,150.59,24.56,45674.12,3623888557,16958460,0.03447150108793987
2024-11-03,5328440,00:33:02,323629,151.53,25.92,45851.57,3629216997,17015184,0.034101688299014346
2024-11-10,4939313,00:33:09,308463,146.73,22.65,46020.95,3634156310,17062427,0.03511523161216955
2024-11-17,4848714,00:32:29,303912,137.55,21.14,46179.64,3639005024,17108079,0.03351374405667152
2024-11-24,4503162,00:32:56,299981,130.53,19.73,46329.9,3643508186,17152363,0.034168488719704064
2024-12-01,4142848,00:32:56,288939,121.96,19.31,46471.16,3647651034,17202448,0.034918123957239075
2024-12-08,4239651,00:32:31,273264,115.31,18.56,46605.03,3651890685,17254588,0.03233352934003294
2024-12-15,4065111,00:32:14,259633,111.88,17.57,46734.48,3655955796,17304083,0.03260840847888286
2024-12-22,3980505,00:32:15,255335,109.92,17.31,46861.71,3659936301,17355262,0.03273039978595681
2024-12-29,3630688,00:33:06,251755,101.6,18.47,46981.78,3663566969,17417837,0.033864567817449474
2025-01-05,3883340,00:32:29,259883,101.23,18.86,47101.87,3667450309,17476570,0.03166659628052141
2025-01-12,3565641,00:32:42,233480,98.49,14.96,47215.33,3671015950,17517613,0.0325811824577965
2025-01-19,3607929,00:32:54,231960,103.62,15.54,47334.49,3674623879,17559425,0.03381991164460276
2025-01-26,3328676,00:33:13,224670,97.32,14.71,47446.52,3677952555,17597782,0.034463768777736256
2025-02-02,3646989,00:32:43,234612,105.9,16.05,47568.48,3681599544,17641438,0.03424106845400411
2025-02-09,3701801,00:32:46,234979,107.45,16.44,47692.38,3685301345,17684156,0.034270713093437495
2025-02-16,3438016,00:32:19,224788,102.7,16.83,47811.91,3688739361,17724567,0.035601556246393266
2025-02-23,3494559,00:32:26,227521,102.23,15.85,47929.98,3692233920,17765470,0.03460062342630357
