,site_id,planned_kiosk_type,installation_status,ppt_id,legacy_id,borough,council_district,community_board,street_address,cross_street_1,cross_street_2,ixn_corner,postcode,zoning,latitude,longitude,installation_complete,activation_complete,neighborhood_tabulation_area_nta,building_identification_number_bin,boroughblocklot_bbl,census_tract_ct,location
1136,qu-02-145780,Link1.0,Live,145780,LINK-018172,Queens,26,402,45-02 VAN DAM STREET,THOMSON AVENUE,47 AVENUE,NW,11101,M1-4,40.744608,-73.933726,2017-03-04,2017-04-14,Hunters Point-Sunnyside-West Maspeth,4003535.0,4002790001.0,4017900.0,"(40.744608, -73.933726)"
1137,mn-08-135869,Link1.0,Live,135869,mn-08-135869,Manhattan,5,108,1208 1 AVENUE,EAST 65 STREET,EAST 66 STREET,NE,10065,C1-9,40.763433,-73.959039,2018-03-23,2020-12-07,Lenox Hill-Roosevelt Island,1045391.0,1014600001.0,1011600.0,"(40.763433, -73.959039)"
1138,bk-01-146014,Link1.0,Live,146014,LINK-021122,Brooklyn,33,301,126 NORTH 8 STREET,METROPOLITAN AVENUE,CONSELYEA STREET,SW,11249,C2-4,40.719246,-73.958612,2017-11-30,2018-02-14,North Side-South Side,3324819.0,3023180017.0,3055700.0,"(40.719246, -73.958612)"
1139,mn-05-133361,Link1.0,Live,133361,mn-05-133361,Manhattan,4,105,1600 BROADWAY,WEST 48 STREET,WEST 49 STREET,NE,10019,C6-7T,40.760413,-73.984541,2016-05-14,2016-07-18,Midtown-Midtown South,1087187.0,1010207502.0,1012500.0,"(40.760413, -73.984541)"
1140,mn-07-108008,Link1.0,Live,108008,mn-07-108008,Manhattan,7,107,801 AMSTERDAM AVENUE,WEST 99 STREET,WEST 100 STREET,NE,10025,C1-5,40.795951,-73.968849,2016-07-28,2016-10-10,Upper West Side,1088438.0,1018527502.0,1018500.0,"(40.795951, -73.968849)"
1141,bk-06-160010,Link5G_NonAd,Live,,,Brooklyn,38,306,130 VAN BRUNT STREET,VAN BRUNT STREET,CONOVER STREET,NW,11231,M1-1/R5,40.675853,-74.014894,2024-02-24,2024-06-27,Carroll Gardens-Columbia Street-Red Hook,3336674.0,3005970029.0,,"(40.6758529, -74.0148937)"
1142,mn-05-122061,Link1.0,Live,122061,mn-05-122061,Manhattan,3,105,400 8 AVENUE,WEST 30 STREET,WEST 29 STREET,NE,10001,C6-3X,40.749537,-73.995245,2016-08-11,2016-10-14,Midtown-Midtown South,1014306.0,1007790075.0,1009500.0,"(40.749537, -73.995245)"
1143,mn-12-120345,Link1.0,Live,120345,SC90234,Manhattan,7,112,845 RIVERSIDE DRIVE,RIVERSIDE DRIVE WEST,RIVERSIDE DRIVE EAST,,10032,R8,40.836018,-73.947447,2022-10-08,2022-12-05,Washington Heights South,1063278.0,1021340206.0,1024100.0,"(40.836018, -73.947447)"
1144,bk-16-160039,Link1.0,Live,,,Brooklyn,41,316,105 SUTTER AVENUE,SUTTER AVENUE,PITKIN AVENUE,NW,11212,C1-3,40.666192,-73.917714,2024-05-13,2024-06-27,Brownsville,3326502.0,3035130001.0,,"(40.6661916, -73.9177138)"
1145,qu-01-146090,Link1.0,Live,146090,LINK-021013,Queens,22,401,28-11 ASTORIA BOULEVARD,27 STREET,29 STREET,MIDBLOCK,11102,C1-3,40.770747,-73.920354,2018-05-19,2018-06-28,Old Astoria,4431076.0,4008390012.0,4006900.0,"(40.770747, -73.920354)"
1146,mn-12-120769,Link1.0,Live,120769,mn-12-120769,Manhattan,10,112,1400 ST. NICHOLAS AVENUE,WEST 180 STREET,WEST 181 STREET,NE,10033,C1-4,40.848673,-73.93407,2017-12-05,2018-04-19,Washington Heights North,1063634.0,1021530057.0,1026900.0,"(40.848673, -73.93407)"
1147,qu-09-145882,Link1.0,Live,145882,LINK-021390,Queens,32,409,98-31 JAMAICA AVENUE,101 STREET,98 STREET,NW,11418,C2-4,40.695048,-73.846656,2017-07-15,2017-08-09,Richmond Hill,4438536.0,4091770059.0,4002400.0,"(40.695048, -73.846656)"
1148,si-02-145807,Link1.0,Live,145807,LINK-018389,Staten Island,50,502,2066 HYLAN BOULEVARD,HUNTER AVENUE,ADAMS AVENUE,NE,10306,C8-1,40.579839,-74.100012,2017-04-10,2017-05-25,Old Town-Dongan Hills-South Beach,5158060.0,5036720001.0,5011201.0,"(40.579839, -74.100012)"
1149,mn-08-135119,Link1.0,Live,135119,mn-08-135119,Manhattan,5,108,400 EAST 64 STREET,1 AVENUE,EAST 63 STREET,SE,10065,C1-9,40.762583,-73.95946,2018-03-23,2021-03-30,Lenox Hill-Roosevelt Island,1045387.0,1014580045.0,1010602.0,"(40.762583, -73.95946)"
1150,mn-05-121570,Link1.0,Live,121570,mn-05-121570,Manhattan,2,105,101 EAST 29 STREET,PARK AVENUE,LEXINGTON AVENUE,NE,10016,C6-4A,40.743891,-73.98337,2017-10-06,2018-04-24,Murray Hill-Kips Bay,1018238.0,1008850001.0,1007200.0,"(40.743891, -73.98337)"
1151,mn-05-135635,Link1.0,Live,135635,mn-05-135635,Manhattan,2,105,439 PARK AVENUE SOUTH,EAST 30 STREET,EAST 29 STREET,SE,10016,C6-4A,40.744407,-73.983132,2018-02-17,2018-04-24,Murray Hill-Kips Bay,1082103.0,1008850088.0,1007200.0,"(40.744407, -73.983132)"
1152,mn-05-122860,Link1.0,Live,122860,mn-05-122860,Manhattan,4,105,2 WEST 54 STREET,5 AVENUE,6 AVENUE,SW,10019,C5-3,40.761118,-73.975684,2017-02-11,2018-01-08,Midtown-Midtown South,1034532.0,1012690041.0,1010400.0,"(40.761118, -73.975684)"
1153,mn-03-123791,Link1.0,Live,123791,mn-03-123791,Manhattan,2,103,182 1 AVENUE,EAST 11 STREET,EAST 12 STREET,NE,10009,C1-5,40.729436,-73.983824,2017-04-02,2017-05-31,East Village,1077654.0,1004390001.0,1003400.0,"(40.729436, -73.983824)"
